DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-16 00:05:21,1.1,2.0,175,4,0.07,0.36,70.9,51.4,F
2024-12-16 00:15:21,0.9,1.7,219,3,0.07,0.36,69.4,53.7,F
2024-12-16 00:25:21,1.0,1.8,247,4,0.09,0.48,70.3,60.6,F
2024-12-16 00:35:21,1.0,1.8,257,4,0.08,0.38,70.9,53.8,F
2024-12-16 00:45:21,0.9,1.6,226,3,0.08,0.40,71.3,54.9,F
2024-12-16 00:55:21,1.0,1.3,225,4,0.08,0.41,71.4,54.9,F
2024-12-16 01:05:21,1.3,2.2,185,5,0.08,0.40,71.4,54.8,F
2024-12-16 01:15:21,1.0,1.7,210,3,0.08,0.40,71.3,54.8,F
2024-12-16 01:25:21,0.7,1.3,181,3,0.08,0.41,71.3,54.8,F
2024-12-16 01:35:21,0.8,1.3,187,3,0.08,0.42,71.3,54.8,F
2024-12-16 01:45:21,1.1,2.0,168,4,0.08,0.41,71.6,56.0,F
2024-12-16 01:55:21,1.1,1.2,162,4,0.08,0.43,71.5,56.0,F
2024-12-16 02:05:21,1.2,2.1,170,4,0.08,0.43,71.4,56.1,F
2024-12-16 02:15:21,0.9,1.7,219,3,0.08,0.43,71.4,56.0,F
2024-12-16 02:25:21,0.5,0.7,130,2,0.09,0.44,71.5,56.0,F
2024-12-16 02:35:21,0.7,1.1,180,2,0.08,0.43,71.5,56.0,F
2024-12-16 02:45:21,0.7,1.3,185,3,0.08,0.42,71.6,56.0,F
2024-12-16 02:55:22,1.1,2.2,172,4,0.08,0.43,71.6,56.0,F
2024-12-16 03:05:22,0.8,0.9,194,3,0.08,0.43,71.4,56.0,F
2024-12-16 03:15:22,0.8,1.6,209,3,0.09,0.44,71.4,57.1,F
2024-12-16 03:25:22,0.6,0.9,166,2,0.09,0.44,71.6,57.1,F
2024-12-16 03:35:22,1.0,1.8,248,4,0.08,0.43,71.5,57.1,F
2024-12-16 03:45:22,0.6,1.1,160,2,0.08,0.43,71.7,57.1,F
2024-12-16 03:55:22,0.7,1.3,154,2,0.08,0.43,71.5,57.2,F
2024-12-16 04:05:22,0.6,1.0,155,2,0.09,0.44,71.6,57.2,F
2024-12-16 04:15:22,0.8,1.2,178,3,0.09,0.44,71.5,57.2,F
2024-12-16 04:25:22,0.6,0.9,123,2,0.08,0.43,71.5,57.1,F
2024-12-16 04:35:22,1.0,2.0,247,4,0.08,0.43,71.5,57.2,F
2024-12-16 04:45:22,0.5,0.7,115,1,0.09,0.44,71.7,57.2,F
2024-12-16 04:55:22,0.8,1.6,187,3,0.08,0.43,71.6,58.2,F
2024-12-16 05:05:22,0.5,0.8,135,1,0.09,0.44,71.6,58.2,F
2024-12-16 05:15:22,0.5,0.9,131,2,0.08,0.43,71.6,58.4,F
2024-12-16 05:25:22,0.4,0.7,95,1,0.08,0.43,71.5,58.3,F
2024-12-16 05:35:22,0.7,1.2,182,2,0.08,0.43,71.5,58.3,F
2024-12-16 05:45:23,0.9,1.3,215,3,0.08,0.42,71.6,58.3,F
2024-12-16 05:55:23,0.7,0.9,164,2,0.08,0.43,71.5,58.3,F
2024-12-16 06:05:23,0.6,0.8,171,2,0.09,0.44,71.6,58.2,F
2024-12-16 06:15:23,1.1,2.2,253,4,0.08,0.43,71.6,58.4,F
2024-12-16 06:25:23,0.7,1.1,179,2,0.08,0.43,71.6,57.1,F
2024-12-16 06:35:23,0.5,0.8,133,1,0.09,0.45,71.6,57.1,F
2024-12-16 06:45:23,0.6,1.0,156,2,0.09,0.45,71.7,57.1,F
2024-12-16 06:55:23,0.8,1.3,197,3,0.09,0.45,71.5,57.1,F
2024-12-16 07:05:23,0.8,1.5,191,3,0.08,0.42,71.6,57.2,F
2024-12-16 07:15:23,1.0,1.8,253,4,0.09,0.44,71.6,57.2,F
2024-12-16 07:25:23,0.7,1.1,163,2,0.08,0.43,71.5,57.1,F
2024-12-16 07:35:23,0.9,1.6,211,3,0.09,0.44,71.5,57.1,F
2024-12-16 07:45:23,0.7,1.2,182,3,0.09,0.45,71.7,57.1,F
2024-12-16 07:55:23,0.8,1.3,192,3,0.08,0.43,71.6,57.1,F
2024-12-16 08:05:23,0.6,1.1,170,2,0.08,0.43,71.6,57.1,F
2024-12-16 08:15:23,1.1,1.9,260,4,0.09,0.45,71.5,57.1,F
2024-12-16 08:25:24,0.5,1.0,143,2,0.09,0.45,71.6,56.1,F
2024-12-16 08:35:24,1.3,2.2,298,5,0.09,0.47,71.4,54.8,F
2024-12-16 08:45:24,2.7,4.6,456,11,0.09,0.46,71.7,57.1,F
2024-12-16 08:55:24,4.4,7.2,710,18,0.09,0.46,71.7,54.9,F
2024-12-16 09:05:24,7.2,10.8,1013,29,0.09,0.47,71.6,54.8,F
2024-12-16 09:15:24,6.6,11.0,1012,27,0.09,0.47,71.6,54.9,F
2024-12-16 09:25:24,4.2,7.3,696,17,0.09,0.48,71.6,54.9,F
2024-12-16 09:35:24,3.7,6.7,604,15,0.09,0.49,71.6,54.8,F
2024-12-16 09:45:24,3.2,5.4,484,13,0.10,0.50,71.7,54.8,F
2024-12-16 09:55:24,3.1,5.3,550,12,0.09,0.49,71.7,54.8,F
2024-12-16 10:05:24,2.2,3.7,328,9,0.09,0.46,71.6,56.0,F
2024-12-16 10:15:24,2.8,4.5,475,11,0.10,0.50,71.6,54.9,F
2024-12-16 10:25:24,3.3,6.1,484,13,0.09,0.45,71.5,56.0,F
2024-12-16 10:35:24,3.0,5.4,541,12,0.09,0.48,71.6,56.0,F
2024-12-16 10:45:24,3.1,5.2,549,12,0.09,0.45,71.8,59.4,F
2024-12-16 10:55:24,2.7,4.9,454,11,0.08,0.43,71.6,60.5,F
2024-12-16 11:05:24,2.9,5.4,507,12,0.08,0.43,71.4,60.5,F
2024-12-16 11:15:25,3.8,6.8,601,15,0.09,0.47,71.6,56.0,F
2024-12-16 11:25:25,2.1,4.0,420,8,0.09,0.44,72.1,59.4,F
2024-12-16 11:35:25,6.1,9.6,983,25,0.09,0.45,71.8,60.5,F
2024-12-16 11:45:25,4.2,7.2,742,17,0.08,0.43,71.7,58.2,F
2024-12-16 11:55:25,3.6,6.5,579,14,0.08,0.43,71.6,58.3,F
2024-12-16 12:05:25,2.7,5.5,527,10,0.08,0.43,71.6,58.2,F
2024-12-16 12:15:25,3.5,6.4,520,14,0.08,0.43,71.6,58.4,F
2024-12-16 12:25:25,4.1,7.1,666,16,0.08,0.43,71.6,58.4,F
2024-12-16 12:35:25,3.2,6.0,588,13,0.09,0.44,71.6,58.3,F
2024-12-16 12:45:25,3.5,6.0,564,14,0.08,0.43,71.8,58.2,F
2024-12-16 12:55:25,3.3,5.9,485,13,0.08,0.43,71.8,58.2,F
2024-12-16 13:05:25,3.0,5.5,580,12,0.08,0.43,71.6,58.2,F
2024-12-16 13:15:25,4.6,8.3,742,19,0.08,0.43,71.6,58.4,F
2024-12-16 13:25:25,3.9,6.8,661,16,0.08,0.43,71.6,58.2,F
2024-12-16 13:35:25,4.5,8.0,687,18,0.08,0.43,71.7,58.2,F
2024-12-16 13:45:25,2.4,4.2,403,10,0.08,0.43,72.0,58.2,F
2024-12-16 13:55:25,2.3,4.0,354,9,0.09,0.44,72.0,58.3,F
2024-12-16 14:05:26,2.0,3.6,424,8,0.09,0.44,72.0,58.2,F
2024-12-16 14:15:26,2.7,4.0,474,11,0.09,0.44,72.1,58.2,F
2024-12-16 14:25:26,2.6,4.5,432,10,0.09,0.44,72.1,58.2,F
2024-12-16 14:35:26,2.2,3.8,331,9,0.09,0.44,72.2,58.2,F
