DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-30 00:03:06,0.9,1.4,218,3,0.20,0.75,69.4,60.6,F
2025-01-30 00:13:06,0.7,1.2,196,2,0.20,0.76,70.2,60.7,F
2025-01-30 00:23:06,0.8,1.4,200,3,0.20,0.77,70.8,60.6,F
2025-01-30 00:33:06,0.6,0.8,147,2,0.21,0.78,71.2,60.6,F
2025-01-30 00:43:06,1.1,1.8,203,4,0.21,0.78,71.3,61.8,F
2025-01-30 00:53:06,0.9,1.5,222,3,0.21,0.78,71.5,62.8,F
2025-01-30 01:03:06,0.9,1.0,207,3,0.21,0.79,71.6,61.7,F
2025-01-30 01:13:06,0.6,1.0,146,2,0.21,0.79,71.6,61.7,F
2025-01-30 01:23:06,0.8,1.3,222,3,0.21,0.79,72.0,61.7,F
2025-01-30 01:33:06,0.4,0.7,101,1,0.22,0.80,71.9,61.7,F
2025-01-30 01:43:06,0.6,1.1,145,2,0.22,0.80,71.9,61.7,F
2025-01-30 01:53:06,0.7,1.2,164,2,0.22,0.80,71.9,61.7,F
2025-01-30 02:03:06,0.9,1.7,228,3,0.22,0.80,71.9,61.7,F
2025-01-30 02:13:06,0.4,0.7,95,1,0.22,0.80,71.8,61.7,F
2025-01-30 02:23:06,0.5,0.7,126,1,0.22,0.80,71.9,61.7,F
2025-01-30 02:33:07,0.6,1.1,166,2,0.22,0.80,71.7,61.7,F
2025-01-30 02:43:07,0.5,0.8,123,1,0.22,0.80,71.6,61.8,F
2025-01-30 02:53:07,0.5,1.0,106,2,0.22,0.80,71.8,61.8,F
2025-01-30 03:03:07,0.6,0.9,152,2,0.22,0.81,71.8,61.7,F
2025-01-30 03:13:07,0.3,0.3,103,1,0.22,0.80,71.9,61.7,F
2025-01-30 03:23:07,0.3,0.3,83,1,0.22,0.81,71.7,61.7,F
2025-01-30 03:33:07,0.5,0.9,112,2,0.22,0.81,71.7,61.7,F
2025-01-30 03:43:07,0.4,0.6,93,1,0.22,0.81,71.8,61.8,F
2025-01-30 03:53:07,0.3,0.5,58,1,0.22,0.81,71.8,61.8,F
2025-01-30 04:03:07,0.6,1.1,146,2,0.22,0.81,71.9,61.7,F
2025-01-30 04:13:07,0.3,0.5,91,1,0.22,0.81,72.0,61.7,F
2025-01-30 04:23:07,0.3,0.4,89,1,0.22,0.81,71.7,61.7,F
2025-01-30 04:33:07,0.2,0.3,56,1,0.22,0.81,71.8,61.7,F
2025-01-30 04:43:07,0.3,0.5,84,1,0.22,0.81,71.7,61.8,F
2025-01-30 04:53:07,0.3,0.6,91,1,0.22,0.81,71.7,61.7,F
2025-01-30 05:03:07,0.6,0.9,164,2,0.22,0.81,71.9,61.7,F
2025-01-30 05:13:07,0.3,0.4,94,1,0.22,0.81,71.7,61.7,F
2025-01-30 05:23:08,0.2,0.2,52,1,0.22,0.81,71.7,61.7,F
2025-01-30 05:33:08,0.2,0.2,42,1,0.22,0.81,71.7,61.7,F
2025-01-30 05:43:08,0.5,0.9,135,2,0.22,0.81,71.6,61.7,F
2025-01-30 05:53:08,0.7,0.9,187,2,0.22,0.81,71.9,61.7,F
2025-01-30 06:03:08,0.4,0.6,85,1,0.22,0.81,71.8,61.8,F
2025-01-30 06:13:08,0.3,0.3,66,1,0.22,0.81,71.7,61.7,F
2025-01-30 06:23:08,0.3,0.5,65,1,0.22,0.81,71.6,61.7,F
2025-01-30 06:33:08,0.3,0.5,83,1,0.22,0.82,71.6,61.7,F
2025-01-30 06:43:08,0.3,0.4,90,1,0.22,0.82,71.7,61.7,F
2025-01-30 06:53:08,0.4,0.6,108,1,0.22,0.81,71.8,61.7,F
2025-01-30 07:03:08,0.2,0.3,85,1,0.22,0.81,71.6,61.7,F
2025-01-30 07:13:08,0.4,0.7,93,1,0.22,0.81,71.6,61.7,F
2025-01-30 07:23:08,0.1,0.2,58,1,0.22,0.81,71.6,61.8,F
2025-01-30 07:33:08,0.3,0.4,74,1,0.22,0.81,71.5,62.8,F
2025-01-30 07:43:08,0.4,0.8,107,1,0.22,0.81,71.7,62.8,F
2025-01-30 07:53:08,0.3,0.6,66,1,0.22,0.82,71.6,61.7,F
2025-01-30 08:03:08,0.5,0.7,138,1,0.22,0.82,71.5,62.8,F
2025-01-30 08:13:09,0.4,0.8,93,1,0.22,0.81,71.4,61.7,F
2025-01-30 08:23:09,0.5,0.9,119,1,0.24,0.85,71.4,62.8,F
2025-01-30 08:33:09,0.7,1.1,150,2,0.23,0.84,71.4,62.8,F
2025-01-30 08:43:09,0.3,0.4,79,1,0.23,0.84,71.6,62.8,F
2025-01-30 08:53:09,0.8,1.4,191,3,0.23,0.84,71.4,61.8,F
