DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-18 00:05:38,0.8,1.1,191,3,0.09,0.49,72.0,60.5,F
2024-12-18 00:15:38,1.1,1.8,185,4,0.09,0.49,71.9,60.5,F
2024-12-18 00:25:38,1.0,2.1,259,4,0.09,0.48,72.2,59.4,F
2024-12-18 00:35:38,1.7,3.1,299,6,0.09,0.49,72.0,60.5,F
2024-12-18 00:45:38,0.8,1.3,199,3,0.10,0.50,72.2,59.4,F
2024-12-18 00:55:38,1.4,2.5,234,5,0.10,0.50,72.2,59.4,F
2024-12-18 01:05:38,1.3,2.2,183,5,0.09,0.49,72.1,57.1,F
2024-12-18 01:15:38,1.1,2.3,179,4,0.09,0.49,72.3,58.2,F
2024-12-18 01:25:38,1.4,2.4,251,5,0.10,0.50,72.3,59.4,F
2024-12-18 01:35:38,1.5,2.6,264,6,0.10,0.50,72.0,58.2,F
2024-12-18 01:45:38,1.0,1.8,255,4,0.10,0.50,71.9,59.5,F
2024-12-18 01:55:38,1.1,1.7,165,4,0.10,0.50,72.0,60.5,F
2024-12-18 02:05:38,1.2,2.2,223,4,0.10,0.50,72.0,59.5,F
2024-12-18 02:15:38,1.1,2.0,187,4,0.10,0.50,72.2,59.5,F
2024-12-18 02:25:38,1.0,1.8,262,4,0.10,0.50,72.0,59.5,F
2024-12-18 02:35:38,0.7,1.2,198,3,0.10,0.50,72.0,59.4,F
2024-12-18 02:45:39,1.3,2.2,196,5,0.10,0.50,72.0,59.5,F
2024-12-18 02:55:39,1.3,2.5,218,5,0.10,0.50,71.9,59.4,F
2024-12-18 03:05:39,1.5,2.4,250,6,0.10,0.51,72.2,59.4,F
2024-12-18 03:15:39,1.0,1.8,242,4,0.10,0.50,72.3,59.5,F
2024-12-18 03:25:39,1.2,2.3,208,5,0.10,0.50,72.0,58.2,F
2024-12-18 03:35:39,1.0,2.3,254,4,0.10,0.50,72.0,59.4,F
2024-12-18 03:45:39,0.8,1.4,190,3,0.10,0.50,72.0,59.4,F
2024-12-18 03:55:39,0.9,1.6,237,3,0.10,0.50,72.1,59.4,F
2024-12-18 04:05:39,0.9,1.3,215,3,0.10,0.50,72.2,58.2,F
2024-12-18 04:15:39,1.0,1.7,229,3,0.10,0.50,72.1,59.4,F
2024-12-18 04:25:39,1.0,1.7,244,4,0.10,0.50,72.1,58.3,F
2024-12-18 04:35:39,1.4,2.5,242,5,0.10,0.50,72.1,59.5,F
2024-12-18 04:45:39,0.8,1.3,189,3,0.10,0.51,72.1,58.2,F
2024-12-18 04:55:39,1.1,1.8,255,4,0.11,0.52,72.4,58.3,F
2024-12-18 05:05:39,0.7,1.0,177,2,0.10,0.51,72.1,58.3,F
2024-12-18 05:15:39,0.9,1.8,235,3,0.10,0.50,72.1,58.3,F
2024-12-18 05:25:39,0.9,1.6,230,3,0.10,0.50,72.1,58.2,F
2024-12-18 05:35:40,1.1,2.0,166,4,0.10,0.50,72.3,58.2,F
2024-12-18 05:45:40,0.9,1.5,226,3,0.10,0.50,72.3,58.2,F
2024-12-18 05:55:40,0.5,0.7,133,2,0.10,0.51,72.4,58.2,F
2024-12-18 06:05:40,1.2,2.3,163,4,0.10,0.50,72.3,58.3,F
2024-12-18 06:15:40,0.9,1.5,215,3,0.10,0.50,72.4,58.3,F
2024-12-18 06:25:40,1.0,1.7,254,4,0.10,0.50,72.1,58.3,F
2024-12-18 06:35:40,1.1,1.3,176,4,0.10,0.50,72.2,57.1,F
2024-12-18 06:45:40,0.6,1.1,166,2,0.10,0.51,72.4,58.2,F
2024-12-18 06:55:40,1.0,1.6,221,4,0.10,0.50,72.3,58.2,F
2024-12-18 07:05:40,0.9,1.6,235,3,0.10,0.50,72.2,58.2,F
2024-12-18 07:15:40,0.9,1.0,217,3,0.10,0.50,72.2,58.2,F
2024-12-18 07:25:40,0.8,1.3,205,3,0.10,0.50,72.2,58.3,F
2024-12-18 07:35:40,1.3,2.5,250,5,0.10,0.51,72.2,58.2,F
2024-12-18 07:45:40,0.6,1.1,151,2,0.10,0.51,72.4,58.2,F
2024-12-18 07:55:40,0.9,1.8,232,3,0.10,0.50,72.4,58.2,F
2024-12-18 08:05:40,1.1,1.9,173,4,0.10,0.50,72.3,58.2,F
2024-12-18 08:15:40,0.7,1.2,180,2,0.10,0.52,72.3,57.1,F
2024-12-18 08:25:41,1.4,2.7,248,5,0.10,0.52,72.3,57.1,F
2024-12-18 08:35:41,1.4,3.1,272,5,0.11,0.54,72.5,57.1,F
2024-12-18 08:45:41,2.2,4.2,346,9,0.11,0.52,72.5,57.1,F
2024-12-18 08:55:41,2.6,4.7,444,10,0.11,0.53,72.3,57.2,F
2024-12-18 09:05:41,3.3,5.6,535,13,0.09,0.47,71.2,58.3,F
2024-12-18 09:15:41,3.4,5.7,551,14,0.09,0.45,69.6,56.0,F
2024-12-18 09:25:41,3.1,5.6,575,12,0.09,0.49,70.4,58.3,F
2024-12-18 09:35:41,5.5,8.7,807,22,0.10,0.50,71.5,58.3,F
2024-12-18 09:45:41,5.1,9.0,818,21,0.11,0.53,71.8,61.7,F
2024-12-18 09:55:41,4.6,8.1,732,19,0.10,0.50,72.1,59.4,F
2024-12-18 10:05:41,4.0,6.6,668,16,0.10,0.52,72.3,58.2,F
2024-12-18 10:15:41,3.7,5.9,644,15,0.10,0.52,72.5,58.2,F
2024-12-18 10:25:41,5.0,9.2,765,20,0.09,0.47,71.3,56.0,F
2024-12-18 10:35:41,3.5,6.3,531,14,0.09,0.49,71.1,58.3,F
2024-12-18 10:45:41,3.5,6.0,562,14,0.10,0.50,71.7,59.4,F
2024-12-18 10:55:41,3.0,5.6,525,12,0.10,0.50,72.0,58.3,F
2024-12-18 11:05:41,3.1,5.2,543,12,0.10,0.51,72.2,59.4,F
2024-12-18 11:15:42,3.0,4.6,536,12,0.10,0.50,72.3,59.4,F
2024-12-18 11:25:42,3.0,5.3,579,12,0.10,0.50,72.6,65.1,F
2024-12-18 11:35:42,2.6,4.5,432,10,0.09,0.49,72.5,65.2,F
2024-12-18 11:45:42,3.0,5.3,525,12,0.09,0.49,72.5,62.8,F
