DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-26 00:06:46,2.3,4.1,362,9,0.07,0.36,71.7,57.1,F
2024-12-26 00:16:46,1.7,2.2,264,6,0.07,0.36,71.7,57.1,F
2024-12-26 00:26:46,1.2,3.2,378,5,0.08,0.38,71.8,58.2,F
2024-12-26 00:36:46,1.3,2.0,224,5,0.07,0.37,71.9,57.2,F
2024-12-26 00:46:46,1.6,2.8,287,6,0.08,0.40,71.7,58.4,F
2024-12-26 00:56:46,2.0,3.0,392,8,0.07,0.37,71.8,57.1,F
2024-12-26 01:06:46,2.7,5.0,425,10,0.07,0.37,71.9,59.5,F
2024-12-26 01:16:46,2.7,5.1,462,11,0.08,0.40,71.8,58.2,F
2024-12-26 01:26:46,2.0,3.1,374,8,0.08,0.39,71.8,57.1,F
2024-12-26 01:36:46,1.9,3.4,387,8,0.08,0.41,72.1,58.2,F
2024-12-26 01:46:46,2.2,3.7,334,9,0.08,0.41,71.9,59.4,F
2024-12-26 01:56:46,3.0,5.4,532,12,0.08,0.39,71.9,59.4,F
2024-12-26 02:06:46,2.8,4.8,467,11,0.08,0.41,71.8,60.5,F
2024-12-26 02:16:47,2.2,3.7,333,8,0.08,0.40,71.8,59.5,F
2024-12-26 02:26:47,2.3,3.8,374,9,0.08,0.40,71.8,59.4,F
2024-12-26 02:36:47,2.3,3.7,360,9,0.08,0.38,71.9,59.4,F
2024-12-26 02:46:47,2.2,3.6,331,9,0.08,0.39,71.7,59.5,F
2024-12-26 02:56:47,2.1,3.9,424,8,0.08,0.39,71.6,59.5,F
2024-12-26 03:06:47,1.7,2.8,347,7,0.08,0.41,71.7,59.4,F
2024-12-26 03:16:47,2.8,4.6,492,11,0.08,0.39,71.6,59.4,F
2024-12-26 03:26:47,1.9,3.1,384,7,0.08,0.38,71.7,59.4,F
2024-12-26 03:36:47,2.1,3.4,408,8,0.08,0.39,71.8,59.4,F
2024-12-26 03:46:47,1.5,2.4,246,6,0.08,0.39,71.6,59.4,F
2024-12-26 03:56:47,2.4,4.3,407,10,0.08,0.40,71.6,58.2,F
2024-12-26 04:06:47,1.7,2.8,311,6,0.08,0.40,71.7,59.4,F
2024-12-26 04:16:47,2.2,3.8,416,9,0.08,0.39,71.7,59.4,F
2024-12-26 04:26:47,1.9,3.4,361,7,0.08,0.39,71.8,59.4,F
2024-12-26 04:36:47,1.6,2.7,306,6,0.08,0.40,71.8,59.5,F
2024-12-26 04:46:47,1.8,3.0,326,7,0.08,0.39,71.7,59.4,F
2024-12-26 04:56:47,2.4,4.4,369,10,0.08,0.38,71.6,59.4,F
2024-12-26 05:06:48,2.1,3.4,418,8,0.08,0.39,71.6,59.5,F
2024-12-26 05:16:48,1.9,3.1,367,7,0.08,0.39,71.6,59.5,F
2024-12-26 05:26:48,1.8,3.5,356,7,0.08,0.40,71.7,59.4,F
2024-12-26 05:36:48,1.5,2.6,272,6,0.08,0.43,71.6,58.4,F
2024-12-26 05:46:48,2.1,3.4,427,8,0.08,0.40,71.7,59.5,F
2024-12-26 05:56:48,2.2,4.0,330,8,0.08,0.39,71.6,60.5,F
2024-12-26 06:06:48,1.8,3.0,392,7,0.08,0.39,71.6,59.5,F
2024-12-26 06:16:48,2.0,2.9,328,8,0.08,0.40,71.6,59.5,F
2024-12-26 06:26:48,1.5,2.5,276,6,0.08,0.43,71.9,58.2,F
2024-12-26 06:36:48,1.7,2.6,322,6,0.08,0.39,71.6,59.4,F
2024-12-26 06:46:48,2.0,3.4,359,8,0.08,0.38,71.6,59.4,F
2024-12-26 06:56:48,1.8,3.1,334,7,0.08,0.39,71.7,59.4,F
2024-12-26 07:06:48,2.0,3.5,422,8,0.08,0.38,71.6,59.5,F
2024-12-26 07:16:48,1.9,3.5,368,7,0.08,0.38,71.8,59.5,F
2024-12-26 07:26:48,2.2,3.9,337,9,0.08,0.38,71.9,59.5,F
