DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-13 08:52:32,5.4,9.3,817,22,0.04,0.18,72.0,53.8,F
2024-12-13 09:02:32,21.3,36.2,3240,70,0.05,0.22,70.9,57.0,F
2024-12-13 09:12:32,11.0,18.8,1846,45,0.05,0.21,70.0,56.5,F
2024-12-13 09:22:32,11.8,20.5,1772,48,0.05,0.21,69.9,55.6,F
2024-12-13 09:32:32,11.2,19.4,1720,46,0.05,0.21,69.9,55.8,F
2024-12-13 09:42:33,9.3,16.9,1454,38,0.05,0.21,69.9,56.0,F
2024-12-13 09:52:33,9.3,17.1,1519,38,0.05,0.22,69.9,56.0,F
2024-12-13 10:02:33,8.9,15.8,1353,36,0.05,0.22,69.9,56.0,F
2024-12-13 10:12:33,7.2,11.8,1115,29,0.05,0.23,69.8,56.0,F
2024-12-13 11:44:59,5.0,9.3,792,20,0.06,0.29,67.7,59.5,F
2024-12-13 11:54:59,5.4,9.2,904,22,0.06,0.30,69.1,57.2,F
2024-12-13 12:04:59,7.4,11.6,1051,30,0.06,0.30,69.8,56.0,F
2024-12-13 12:14:59,6.2,10.9,1015,25,0.06,0.30,70.5,56.0,F
2024-12-13 12:24:59,5.7,9.9,900,23,0.06,0.31,71.0,54.8,F
2024-12-13 12:34:59,6.5,11.1,971,26,0.07,0.32,71.2,54.8,F
2024-12-13 12:44:59,6.2,10.8,1032,25,0.07,0.32,71.3,54.9,F
2024-12-13 12:55:00,6.6,10.7,974,27,0.07,0.34,71.3,53.7,F
2024-12-13 13:05:00,5.1,9.2,855,21,0.07,0.35,71.2,53.8,F
2024-12-13 13:15:00,6.2,11.9,1036,25,0.07,0.34,71.4,53.7,F
2024-12-13 13:25:00,4.1,7.6,692,16,0.07,0.34,71.6,54.8,F
2024-12-13 13:35:00,4.5,7.2,680,18,0.07,0.34,71.9,54.9,F
2024-12-13 13:45:00,4.4,7.3,680,18,0.07,0.35,71.9,53.7,F
2024-12-13 13:55:00,4.1,7.1,706,16,0.07,0.34,72.0,54.8,F
2024-12-13 14:05:00,28.4,50.6,4324,85,0.07,0.36,72.1,56.1,F
2024-12-13 14:15:00,16.9,30.9,2596,60,0.07,0.36,72.7,57.1,F
2024-12-13 14:25:00,15.3,27.2,2331,57,0.07,0.36,72.3,58.2,F
2024-12-13 14:35:00,10.0,16.7,1543,41,0.07,0.36,71.1,56.0,F
2024-12-13 14:45:00,10.0,17.9,1524,41,0.07,0.36,71.7,54.8,F
2024-12-13 14:55:00,9.1,15.3,1413,37,0.07,0.37,72.1,54.8,F
2024-12-13 15:05:00,8.2,14.0,1310,33,0.07,0.36,72.7,54.8,F
2024-12-13 15:15:00,9.3,16.7,1461,38,0.07,0.36,73.0,54.9,F
2024-12-13 15:25:00,7.5,13.6,1220,31,0.08,0.38,73.1,54.8,F
2024-12-13 15:35:00,5.9,10.1,942,24,0.07,0.37,73.4,54.8,F
2024-12-13 15:45:01,7.0,12.3,1079,29,0.07,0.36,73.4,53.7,F
2024-12-13 15:55:01,5.2,9.6,860,21,0.07,0.32,72.3,50.2,F
2024-12-13 16:05:01,5.4,9.1,812,22,0.07,0.34,72.4,51.4,F
2024-12-13 16:15:01,4.7,8.4,768,19,0.07,0.34,72.8,51.5,F
2024-12-13 16:25:01,3.0,4.9,521,12,0.10,0.51,71.4,50.4,F
2024-12-13 16:35:01,4.4,7.4,669,18,0.06,0.31,71.0,52.7,F
2024-12-13 16:45:01,4.8,8.1,758,19,0.08,0.39,70.0,52.7,F
2024-12-13 16:55:01,3.2,5.6,553,13,0.10,0.50,70.1,52.6,F
2024-12-13 17:05:01,2.3,4.1,372,9,0.10,0.50,70.3,52.6,F
2024-12-13 17:15:01,2.3,4.0,372,9,0.10,0.50,70.5,51.4,F
2024-12-13 17:25:01,2.2,3.6,329,9,0.09,0.49,70.3,51.4,F
2024-12-13 17:35:01,2.7,4.4,436,10,0.10,0.50,70.5,51.4,F
2024-12-13 17:45:01,2.6,5.0,448,10,0.09,0.46,70.6,51.4,F
2024-12-13 17:55:01,2.5,4.7,379,10,0.09,0.49,70.7,51.5,F
2024-12-13 18:05:01,3.1,4.1,425,12,0.08,0.40,71.0,53.7,F
2024-12-13 18:15:01,1.9,3.6,358,8,0.08,0.41,71.2,51.4,F
2024-12-13 18:25:01,2.7,5.1,452,11,0.09,0.45,71.0,51.4,F
2024-12-13 18:35:02,1.7,3.0,344,7,0.09,0.48,71.1,52.5,F
2024-12-13 18:45:02,2.2,4.0,425,8,0.08,0.43,71.2,53.7,F
2024-12-13 18:55:02,1.9,3.2,348,7,0.09,0.44,71.3,54.8,F
2024-12-13 19:05:02,1.7,3.2,321,7,0.08,0.42,71.6,54.9,F
2024-12-13 19:15:02,2.1,3.7,408,8,0.08,0.41,71.5,53.7,F
2024-12-13 19:25:02,1.6,2.8,307,6,0.09,0.46,71.4,53.7,F
2024-12-13 19:35:02,1.9,3.0,381,7,0.09,0.45,71.4,53.7,F
2024-12-13 19:45:02,2.1,3.3,405,8,0.09,0.46,71.3,53.7,F
2024-12-13 19:55:02,4.3,8.6,845,17,0.08,0.40,71.3,53.7,F
2024-12-13 20:05:02,2.7,5.0,478,11,0.07,0.32,71.4,54.9,F
2024-12-13 20:15:02,3.0,5.4,541,12,0.07,0.33,71.2,54.8,F
2024-12-13 20:25:02,4.2,7.4,728,17,0.07,0.32,71.5,54.8,F
2024-12-13 20:35:02,3.3,6.4,515,13,0.07,0.32,71.7,54.8,F
2024-12-13 20:45:02,3.6,6.1,571,14,0.07,0.32,71.7,54.8,F
2024-12-13 20:55:02,4.4,6.2,632,18,0.07,0.33,72.1,53.8,F
2024-12-13 21:05:02,3.2,5.6,491,13,0.07,0.34,72.2,53.7,F
2024-12-13 21:15:03,3.4,5.7,575,13,0.07,0.33,72.1,53.7,F
2024-12-13 21:25:03,3.5,6.6,573,14,0.07,0.34,72.1,53.8,F
2024-12-13 21:35:03,3.7,6.7,540,15,0.07,0.35,72.0,53.7,F
2024-12-13 21:45:03,3.3,6.1,507,13,0.07,0.32,72.1,53.7,F
2024-12-13 21:55:03,3.2,5.7,583,13,0.07,0.32,72.3,53.7,F
2024-12-13 22:05:03,3.2,6.1,590,13,0.07,0.33,72.4,53.7,F
2024-12-13 22:15:03,4.5,7.8,698,18,0.07,0.32,72.2,53.7,F
2024-12-13 22:25:03,3.2,5.7,561,13,0.06,0.31,71.2,51.4,F
2024-12-13 22:35:03,3.1,5.3,578,12,0.06,0.30,71.1,52.5,F
