DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-18 00:01:23,0.4,0.7,109,1,0.20,0.76,70.0,58.3,F
2025-01-18 00:11:23,0.5,0.9,113,2,0.20,0.75,69.9,57.2,F
2025-01-18 00:21:23,0.5,0.9,111,2,0.19,0.72,69.5,52.6,F
2025-01-18 00:31:24,0.2,0.3,72,1,0.19,0.73,69.4,55.0,F
2025-01-18 00:41:24,0.6,0.8,146,2,0.19,0.73,69.5,56.0,F
2025-01-18 00:51:24,1.0,1.5,229,4,0.19,0.72,69.9,58.3,F
2025-01-18 01:01:24,1.5,2.5,270,6,0.19,0.72,70.1,58.3,F
2025-01-18 01:11:24,1.4,3.0,292,5,0.19,0.72,70.1,58.3,F
2025-01-18 01:21:24,1.9,3.2,361,7,0.19,0.73,70.3,58.3,F
2025-01-18 01:31:24,1.7,2.6,314,7,0.19,0.73,70.4,58.3,F
2025-01-18 01:41:24,1.0,1.7,265,4,0.20,0.76,70.5,57.1,F
2025-01-18 01:51:24,1.1,1.8,168,4,0.20,0.76,70.7,57.1,F
2025-01-18 02:01:24,1.1,1.9,236,4,0.20,0.76,70.9,57.1,F
2025-01-18 02:11:24,1.2,1.9,196,4,0.20,0.75,70.8,57.1,F
2025-01-18 02:21:24,1.3,2.2,237,5,0.20,0.75,70.8,58.3,F
2025-01-18 02:31:24,1.5,2.3,263,6,0.19,0.74,70.8,60.6,F
2025-01-18 02:41:24,1.2,1.7,188,4,0.20,0.75,70.9,60.6,F
2025-01-18 02:51:24,1.2,2.1,179,5,0.20,0.75,70.9,58.3,F
2025-01-18 03:01:24,1.0,1.8,257,4,0.20,0.75,71.0,58.3,F
2025-01-18 03:11:25,0.6,1.1,156,2,0.20,0.76,70.8,59.5,F
2025-01-18 03:21:25,0.7,1.3,188,3,0.20,0.76,70.7,59.4,F
2025-01-18 03:31:25,0.7,1.0,160,2,0.20,0.76,70.7,59.4,F
2025-01-18 03:41:25,0.9,1.4,200,3,0.20,0.76,70.7,59.4,F
2025-01-18 03:51:25,0.6,1.0,115,2,0.20,0.75,70.7,59.5,F
2025-01-18 04:01:25,0.7,1.4,175,2,0.20,0.76,70.8,60.6,F
2025-01-18 04:11:26,0.6,1.0,152,2,0.20,0.77,70.5,59.4,F
2025-01-18 04:21:25,0.8,1.5,202,3,0.20,0.77,70.5,60.6,F
2025-01-18 04:31:25,0.5,0.5,105,1,0.20,0.76,70.5,59.4,F
2025-01-18 04:41:25,0.4,0.7,100,1,0.20,0.76,70.5,60.6,F
2025-01-18 04:51:25,0.6,1.3,156,2,0.20,0.77,70.5,60.6,F
2025-01-18 05:01:25,0.3,0.6,91,1,0.20,0.77,70.8,60.6,F
2025-01-18 05:11:25,0.4,0.5,107,1,0.20,0.76,70.5,60.6,F
2025-01-18 05:21:25,0.2,0.5,82,1,0.20,0.76,70.5,60.7,F
2025-01-18 05:31:25,0.6,0.8,138,2,0.20,0.76,70.6,60.6,F
2025-01-18 05:41:25,0.2,0.2,59,2,0.20,0.77,70.6,60.6,F
2025-01-18 05:51:25,0.3,0.4,66,1,0.21,0.78,70.5,60.6,F
2025-01-18 06:01:26,0.5,0.8,111,1,0.21,0.77,70.7,60.7,F
2025-01-18 06:11:26,0.4,0.6,103,1,0.21,0.78,70.5,60.7,F
2025-01-18 06:21:26,0.2,0.2,68,1,0.20,0.77,70.6,60.6,F
2025-01-18 06:31:26,0.4,0.7,111,1,0.21,0.78,70.6,60.6,F
2025-01-18 06:41:26,0.5,1.0,139,2,0.21,0.78,70.6,60.7,F
2025-01-18 06:51:26,0.3,0.6,69,1,0.21,0.78,70.6,60.6,F
2025-01-18 07:01:26,0.5,0.9,145,2,0.21,0.78,70.7,60.6,F
2025-01-18 07:11:27,0.4,0.4,107,1,0.21,0.78,70.5,60.7,F
2025-01-18 07:21:26,0.4,0.6,116,1,0.21,0.78,70.6,60.7,F
2025-01-18 07:31:26,0.6,1.0,116,2,0.21,0.78,70.6,60.6,F
2025-01-18 07:41:27,0.2,0.5,49,1,0.21,0.78,70.5,60.7,F
2025-01-18 07:51:26,0.4,0.7,92,1,0.21,0.78,70.5,60.6,F
2025-01-18 08:01:26,0.4,0.6,107,1,0.21,0.78,70.7,60.6,F
2025-01-18 08:11:26,0.5,1.0,105,2,0.21,0.79,70.6,60.6,F
2025-01-18 08:21:26,0.4,0.8,113,1,0.21,0.79,70.5,60.6,F
2025-01-18 08:31:26,0.6,1.1,154,2,0.21,0.78,70.5,60.7,F
2025-01-18 08:41:26,0.4,0.6,83,1,0.21,0.78,70.5,60.6,F
2025-01-18 08:51:27,0.7,1.2,163,2,0.21,0.78,70.7,59.4,F
2025-01-18 09:01:27,0.5,0.9,127,2,0.21,0.79,70.7,60.6,F
2025-01-18 09:11:27,0.4,0.6,91,1,0.21,0.79,70.5,60.6,F
2025-01-18 09:21:27,0.1,0.2,56,1,0.21,0.79,70.5,60.7,F
2025-01-18 09:31:27,0.2,0.3,69,1,0.21,0.78,70.5,60.7,F
2025-01-18 09:41:27,0.4,0.7,91,1,0.21,0.79,70.6,60.6,F
2025-01-18 09:51:27,0.4,0.8,86,1,0.21,0.79,70.7,60.7,F
2025-01-18 10:01:27,0.4,0.6,114,1,0.21,0.79,70.8,59.4,F
2025-01-18 10:11:27,0.8,1.3,189,3,0.21,0.79,70.5,58.3,F
2025-01-18 10:21:27,0.6,1.0,146,2,0.21,0.79,70.6,57.1,F
