DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-14 00:05:04,2.2,3.8,327,8,0.06,0.28,70.4,52.7,F
2024-12-14 00:15:04,2.1,3.5,419,8,0.06,0.26,69.8,53.8,F
2024-12-14 00:25:04,2.1,3.4,399,8,0.07,0.32,70.6,53.7,F
2024-12-14 00:35:04,2.4,3.9,376,9,0.07,0.34,70.9,52.7,F
2024-12-14 00:45:04,2.4,4.0,363,9,0.07,0.37,70.7,52.6,F
2024-12-14 00:55:04,3.3,5.7,487,13,0.06,0.29,71.0,56.0,F
2024-12-14 01:05:04,3.3,5.7,500,13,0.06,0.28,71.0,54.8,F
2024-12-14 01:15:04,3.2,5.5,587,13,0.06,0.29,71.0,54.8,F
2024-12-14 01:25:04,3.4,5.4,574,14,0.06,0.29,71.0,54.9,F
2024-12-14 01:35:04,2.3,4.1,361,9,0.06,0.30,71.1,54.8,F
2024-12-14 01:45:04,2.3,4.2,370,9,0.07,0.34,70.9,54.8,F
2024-12-14 01:55:04,3.5,5.8,524,14,0.07,0.37,70.9,54.8,F
2024-12-14 02:05:04,2.4,3.6,363,9,0.07,0.37,70.9,56.0,F
2024-12-14 02:15:04,2.4,5.0,494,9,0.06,0.30,70.8,56.0,F
2024-12-14 02:25:04,2.8,4.1,494,11,0.06,0.30,70.8,56.0,F
2024-12-14 02:35:04,2.9,4.8,487,11,0.07,0.32,70.9,56.0,F
2024-12-14 02:45:04,2.0,3.3,424,8,0.08,0.39,70.7,56.0,F
2024-12-14 02:55:05,3.1,5.1,555,12,0.07,0.32,70.8,56.0,F
2024-12-14 03:05:05,1.7,2.1,274,7,0.07,0.35,70.7,56.1,F
2024-12-14 03:15:05,2.3,4.1,382,9,0.08,0.40,70.7,56.0,F
2024-12-14 03:25:05,2.3,4.0,361,9,0.08,0.40,70.9,56.0,F
2024-12-14 03:35:05,1.9,3.8,325,7,0.09,0.44,70.9,56.0,F
2024-12-14 03:45:05,2.1,3.6,421,8,0.08,0.39,70.8,57.1,F
2024-12-14 03:55:05,1.7,3.1,326,7,0.07,0.34,70.7,57.2,F
2024-12-14 04:05:05,1.9,3.3,368,8,0.07,0.34,70.7,57.1,F
2024-12-14 04:15:05,1.8,3.1,341,7,0.07,0.35,70.7,57.1,F
2024-12-14 04:25:05,1.8,3.2,346,7,0.07,0.36,71.0,57.2,F
2024-12-14 04:35:05,1.5,2.5,262,6,0.09,0.45,70.9,54.8,F
2024-12-14 04:45:05,2.0,3.7,409,8,0.08,0.40,70.8,57.1,F
2024-12-14 04:55:05,1.6,2.6,311,6,0.07,0.37,70.7,57.1,F
2024-12-14 05:05:05,2.2,3.9,331,9,0.08,0.39,70.8,58.3,F
2024-12-14 05:15:05,1.5,2.7,262,6,0.07,0.37,70.7,57.2,F
2024-12-14 05:25:05,1.8,3.1,321,7,0.08,0.40,70.8,56.0,F
2024-12-14 05:35:05,1.9,3.4,377,8,0.08,0.38,71.0,57.1,F
2024-12-14 05:45:06,1.5,2.6,333,6,0.07,0.35,70.7,57.1,F
2024-12-14 05:55:06,2.4,4.2,392,10,0.07,0.36,70.7,57.2,F
2024-12-14 06:05:06,1.8,3.1,347,7,0.07,0.36,70.7,57.1,F
2024-12-14 06:15:06,1.3,2.3,234,5,0.09,0.45,70.7,56.0,F
2024-12-14 06:25:06,1.6,2.6,280,6,0.09,0.48,70.9,56.0,F
2024-12-14 06:35:06,1.7,3.0,335,7,0.08,0.41,70.9,56.0,F
