DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-27 00:06:54,8.2,13.3,1286,33,0.09,0.45,71.2,57.2,F
2024-12-27 00:16:54,7.3,12.5,1178,30,0.09,0.45,71.5,56.1,F
2024-12-27 00:26:54,7.3,12.1,1170,30,0.09,0.46,71.7,54.8,F
2024-12-27 00:36:54,8.0,13.8,1193,33,0.09,0.45,72.1,57.1,F
2024-12-27 00:46:54,8.0,13.3,1258,32,0.09,0.45,72.2,57.1,F
2024-12-27 00:56:55,7.6,12.0,1162,31,0.09,0.46,71.9,56.0,F
2024-12-27 01:06:55,6.6,10.6,1084,27,0.09,0.47,72.0,56.1,F
2024-12-27 01:16:55,7.3,12.0,1167,30,0.09,0.48,72.1,54.8,F
2024-12-27 01:26:55,7.5,11.7,1133,30,0.09,0.47,72.1,55.9,F
2024-12-27 01:36:55,6.9,11.1,1113,28,0.09,0.48,72.4,56.1,F
2024-12-27 01:46:55,7.2,11.5,1192,29,0.09,0.46,72.5,55.9,F
2024-12-27 01:56:55,6.6,11.4,1021,27,0.09,0.47,72.1,58.2,F
2024-12-27 02:06:55,6.1,10.3,1008,25,0.09,0.48,72.1,58.2,F
2024-12-27 02:16:55,7.0,10.9,1096,29,0.09,0.49,72.1,59.4,F
2024-12-27 02:26:55,6.3,9.8,1014,25,0.09,0.49,72.0,58.3,F
2024-12-27 02:36:55,6.4,10.2,1059,26,0.10,0.50,72.2,59.4,F
2024-12-27 02:46:56,5.6,9.3,854,22,0.09,0.49,72.2,59.4,F
2024-12-27 02:56:55,5.3,8.8,813,22,0.10,0.50,72.0,60.5,F
2024-12-27 03:06:55,5.9,9.9,946,24,0.09,0.49,72.0,59.4,F
2024-12-27 03:16:55,4.6,8.1,733,18,0.09,0.49,71.9,59.4,F
2024-12-27 03:26:55,6.1,8.7,912,25,0.09,0.49,71.9,59.4,F
2024-12-27 03:36:56,4.5,7.6,728,18,0.09,0.49,72.1,59.4,F
2024-12-27 03:46:56,5.6,8.4,905,23,0.10,0.50,72.2,59.4,F
2024-12-27 03:56:56,5.0,8.0,827,20,0.09,0.49,72.1,59.4,F
2024-12-27 04:06:56,5.5,9.2,865,22,0.09,0.49,72.1,59.4,F
2024-12-27 04:16:56,5.0,8.3,836,20,0.09,0.49,72.1,59.5,F
2024-12-27 04:26:56,4.8,7.8,778,19,0.10,0.50,71.9,59.4,F
2024-12-27 04:36:56,4.6,7.9,747,19,0.10,0.50,72.2,59.4,F
2024-12-27 04:46:56,5.7,9.1,878,23,0.09,0.49,72.1,59.5,F
2024-12-27 04:56:56,5.5,8.7,830,22,0.09,0.49,72.0,59.4,F
2024-12-27 05:06:56,5.2,8.0,859,21,0.09,0.49,72.1,59.4,F
2024-12-27 05:16:56,4.9,7.6,810,20,0.10,0.50,72.0,60.5,F
2024-12-27 05:26:56,4.5,6.8,698,18,0.10,0.50,72.2,59.4,F
2024-12-27 05:36:56,4.2,7.3,744,17,0.10,0.50,72.2,59.5,F
2024-12-27 05:46:56,5.7,8.8,878,23,0.09,0.49,72.0,59.4,F
2024-12-27 05:56:56,5.3,8.5,904,22,0.09,0.49,72.1,59.4,F
2024-12-27 06:06:56,4.8,7.3,768,19,0.10,0.50,72.1,60.5,F
2024-12-27 06:16:56,4.4,8.0,700,18,0.10,0.50,72.1,60.5,F
2024-12-27 06:26:57,4.4,7.2,707,18,0.10,0.50,72.3,59.5,F
2024-12-27 06:36:57,4.0,6.6,664,16,0.09,0.49,72.1,59.4,F
2024-12-27 06:46:57,4.2,6.9,742,17,0.09,0.49,72.1,60.5,F
2024-12-27 06:56:57,5.1,8.6,840,20,0.10,0.50,72.0,60.5,F
2024-12-27 07:06:57,3.7,6.1,632,15,0.10,0.50,72.1,60.5,F
2024-12-27 07:16:57,4.7,7.8,766,19,0.09,0.49,72.1,60.5,F
2024-12-27 07:26:57,3.9,7.4,743,16,0.10,0.50,72.3,60.6,F
2024-12-27 07:36:57,4.1,6.4,712,16,0.09,0.49,72.1,60.5,F
2024-12-27 07:46:57,4.4,6.8,683,18,0.10,0.50,72.3,60.5,F
2024-12-27 07:56:57,4.0,6.7,673,16,0.10,0.50,72.1,60.5,F
2024-12-27 08:06:57,4.3,6.9,643,17,0.09,0.49,72.2,60.6,F
2024-12-27 08:16:57,3.8,6.2,645,15,0.09,0.49,72.3,59.4,F
2024-12-27 08:26:57,3.2,4.9,546,13,0.09,0.49,72.3,59.4,F
2024-12-27 08:36:57,3.4,5.1,531,14,0.09,0.48,72.1,59.4,F
2024-12-27 08:46:57,2.5,4.2,402,10,0.09,0.49,72.2,57.1,F
2024-12-27 08:56:57,3.6,6.3,572,14,0.09,0.49,72.2,60.5,F
2024-12-27 09:06:57,2.9,4.7,516,11,0.09,0.48,72.1,61.8,F
2024-12-27 09:16:58,4.0,7.1,657,16,0.09,0.45,72.1,59.4,F
2024-12-27 09:26:58,2.9,5.0,516,12,0.08,0.42,70.2,56.0,F
2024-12-27 09:36:58,2.4,4.2,401,10,0.08,0.38,68.7,54.9,F
2024-12-27 09:46:58,7.1,11.9,1140,29,0.08,0.41,69.7,57.2,F
2024-12-27 09:56:58,6.2,10.5,1002,25,0.08,0.42,70.7,57.2,F
2024-12-27 10:06:58,5.7,9.7,882,23,0.12,0.55,71.2,57.2,F
2024-12-27 10:16:58,8.1,14.1,1291,33,0.13,0.57,71.7,57.2,F
2024-12-27 10:26:58,15.3,25.6,2298,57,0.15,0.63,71.9,57.1,F
2024-12-27 10:36:58,13.4,22.2,2053,53,0.13,0.58,71.9,57.1,F
2024-12-27 10:46:58,13.2,22.7,1995,53,0.13,0.58,72.0,57.2,F
2024-12-27 10:56:58,14.2,23.1,2142,55,0.13,0.58,72.1,58.2,F
2024-12-27 11:06:58,14.1,24.5,2147,55,0.13,0.57,71.9,57.1,F
2024-12-27 11:16:58,10.1,17.3,1563,41,0.12,0.55,72.2,57.1,F
2024-12-27 11:26:58,9.9,16.6,1589,40,0.12,0.55,72.3,57.1,F
2024-12-27 11:36:58,9.2,15.4,1457,38,0.12,0.55,72.2,57.2,F
2024-12-27 11:46:58,10.3,17.6,1595,42,0.12,0.56,72.2,58.2,F
2024-12-27 11:56:58,9.5,16.5,1458,39,0.12,0.55,72.2,60.5,F
2024-12-27 12:06:59,9.8,15.2,1526,40,0.11,0.54,72.5,60.5,F
2024-12-27 12:16:59,6.9,11.5,1101,28,0.11,0.53,72.6,59.5,F
2024-12-27 12:26:59,8.9,14.8,1383,36,0.12,0.55,72.6,59.4,F
2024-12-27 12:36:59,8.8,14.3,1352,36,0.11,0.54,72.5,59.4,F
2024-12-27 12:46:59,9.2,15.9,1461,37,0.11,0.54,72.4,59.4,F
