DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-16 00:01:07,0.5,1.3,138,2,0.23,0.84,71.7,60.6,F
2025-01-16 00:11:06,0.5,0.8,135,2,0.24,0.85,71.6,59.4,F
2025-01-16 00:21:06,0.3,0.5,73,1,0.24,0.85,71.5,59.4,F
2025-01-16 00:31:07,0.1,0.1,38,1,0.24,0.85,71.3,59.4,F
2025-01-16 00:41:07,0.5,0.9,125,2,0.24,0.85,71.3,59.4,F
2025-01-16 00:51:07,0.2,0.2,52,1,0.24,0.85,71.3,59.4,F
2025-01-16 01:01:07,0.2,0.3,68,1,0.24,0.86,71.2,59.5,F
2025-01-16 01:11:07,0.1,0.2,45,1,0.24,0.86,71.4,59.4,F
2025-01-16 01:21:07,0.2,0.3,56,1,0.24,0.86,71.2,59.4,F
2025-01-16 01:31:07,0.2,0.3,50,1,0.24,0.86,71.2,59.4,F
2025-01-16 01:41:07,0.3,0.6,86,1,0.24,0.86,71.2,59.4,F
2025-01-16 01:51:07,0.2,0.2,51,1,0.24,0.86,71.1,59.5,F
2025-01-16 02:01:07,0.3,0.5,81,1,0.24,0.86,71.1,59.5,F
2025-01-16 02:11:07,0.4,0.6,72,1,0.24,0.86,71.3,59.4,F
2025-01-16 02:21:07,0.2,0.3,11,1,0.24,0.86,71.1,59.4,F
2025-01-16 02:31:07,0.2,0.4,57,1,0.24,0.86,71.2,59.4,F
2025-01-16 02:41:08,0.1,0.1,38,1,0.24,0.86,71.1,59.4,F
2025-01-16 02:51:07,0.2,0.2,29,1,0.24,0.86,71.0,59.5,F
2025-01-16 03:01:07,0.4,0.6,82,1,0.24,0.86,71.2,59.4,F
2025-01-16 03:11:07,0.1,0.2,19,2,0.24,0.86,71.2,59.4,F
2025-01-16 03:21:08,0.2,0.5,71,1,0.24,0.86,71.1,59.4,F
2025-01-16 03:31:08,0.1,0.2,17,1,0.24,0.86,71.0,59.4,F
2025-01-16 03:41:08,0.1,0.2,15,2,0.24,0.86,71.0,59.4,F
2025-01-16 03:51:08,0.1,0.2,12,2,0.24,0.86,70.9,59.5,F
2025-01-16 04:01:08,0.1,0.1,43,2,0.24,0.86,71.2,59.4,F
2025-01-16 04:11:08,0.2,0.4,59,1,0.24,0.86,71.0,59.4,F
2025-01-16 04:21:08,0.2,0.2,26,1,0.25,0.87,71.0,59.4,F
2025-01-16 04:31:08,0.2,0.3,38,1,0.25,0.87,70.9,59.4,F
2025-01-16 04:41:08,0.1,0.2,11,1,0.24,0.86,70.9,59.4,F
2025-01-16 04:51:08,0.2,0.2,66,1,0.25,0.87,70.9,59.4,F
2025-01-16 05:01:08,0.4,0.8,113,1,0.24,0.87,71.2,58.3,F
2025-01-16 05:11:08,0.7,1.1,152,2,0.25,0.88,71.1,58.3,F
2025-01-16 05:21:08,0.7,1.2,192,3,0.24,0.86,71.1,59.4,F
2025-01-16 05:31:08,1.1,2.2,174,4,0.31,1.04,71.2,59.4,F
2025-01-16 05:41:08,0.5,0.8,120,2,0.29,0.99,71.3,59.4,F
2025-01-16 05:51:08,0.8,1.3,180,3,0.28,0.95,71.4,59.5,F
2025-01-16 06:01:08,0.4,0.6,110,1,0.28,0.95,71.4,59.4,F
2025-01-16 06:11:09,0.8,1.4,200,3,0.27,0.93,71.2,59.5,F
2025-01-16 06:21:09,0.4,0.7,110,1,0.27,0.93,71.2,58.3,F
2025-01-16 06:31:10,0.7,1.2,161,2,0.26,0.90,71.2,58.3,F
2025-01-16 06:41:09,0.7,0.9,171,2,0.26,0.90,71.2,58.3,F
2025-01-16 06:51:09,0.6,1.0,134,2,0.25,0.89,71.3,58.3,F
2025-01-16 07:01:09,0.8,1.3,194,3,0.25,0.89,71.1,58.3,F
2025-01-16 07:11:09,0.7,1.2,190,2,0.25,0.88,71.1,58.3,F
2025-01-16 07:21:09,0.6,1.0,141,2,0.25,0.87,71.0,58.3,F
2025-01-16 07:31:09,0.4,0.6,100,1,0.25,0.88,71.0,58.4,F
2025-01-16 07:41:09,0.3,0.6,82,1,0.25,0.88,70.9,58.3,F
2025-01-16 07:51:09,0.6,1.0,157,2,0.25,0.88,71.0,58.3,F
2025-01-16 08:01:09,0.3,0.3,98,1,0.25,0.87,70.9,58.3,F
2025-01-16 08:11:09,0.2,0.2,47,1,0.24,0.87,70.9,58.3,F
2025-01-16 08:21:09,0.4,0.6,86,1,0.25,0.87,70.8,58.3,F
2025-01-16 08:31:09,0.3,0.3,50,1,0.25,0.87,70.7,58.4,F
2025-01-16 08:41:09,0.6,0.9,136,2,0.25,0.87,70.8,58.3,F
2025-01-16 08:51:09,0.3,0.4,89,1,0.24,0.87,70.9,58.3,F
2025-01-16 09:01:10,0.3,0.5,69,1,0.24,0.87,70.7,58.3,F
2025-01-16 09:11:10,0.2,0.3,11,1,0.24,0.87,70.7,58.3,F
2025-01-16 09:21:10,0.2,0.3,33,1,0.24,0.87,70.7,58.4,F
2025-01-16 09:31:10,0.2,0.3,48,1,0.24,0.87,70.7,58.4,F
2025-01-16 09:41:10,0.2,0.3,52,1,0.24,0.86,70.8,58.3,F
2025-01-16 09:51:10,0.6,1.2,127,2,0.24,0.86,70.8,58.3,F
2025-01-16 10:01:10,0.1,0.1,40,2,0.24,0.86,70.7,58.4,F
2025-01-16 10:11:10,0.3,0.6,65,1,0.24,0.86,70.6,58.4,F
2025-01-16 10:21:10,0.8,1.4,215,3,0.24,0.86,70.7,57.1,F
2025-01-16 10:31:10,1.1,1.4,236,4,0.24,0.85,70.8,57.2,F
2025-01-16 10:41:10,1.2,2.0,173,4,0.24,0.85,70.8,57.1,F
2025-01-16 10:51:10,0.9,1.1,161,3,0.23,0.84,71.0,57.1,F
2025-01-16 11:01:10,0.9,1.6,240,3,0.23,0.83,70.9,58.3,F
2025-01-16 11:11:10,3.0,5.1,535,12,0.23,0.84,71.1,58.3,F
2025-01-16 11:21:10,2.8,5.0,475,11,0.24,0.85,71.3,60.5,F
2025-01-16 11:31:10,1.8,3.1,313,7,0.24,0.85,71.3,61.7,F
2025-01-16 11:41:10,1.4,2.3,242,5,0.23,0.84,71.6,60.5,F
2025-01-16 11:51:11,1.4,2.4,210,5,0.24,0.85,71.6,61.7,F
2025-01-16 12:01:11,0.8,1.5,193,3,0.24,0.85,71.4,61.8,F
2025-01-16 12:11:11,0.7,1.3,193,2,0.24,0.86,71.4,60.5,F
2025-01-16 12:21:11,0.5,1.0,134,2,0.24,0.85,71.7,60.5,F
2025-01-16 12:31:12,1.4,2.4,249,5,0.24,0.86,71.9,62.9,F
2025-01-16 12:41:11,1.1,2.2,178,4,0.24,0.86,72.0,62.8,F
2025-01-16 12:51:11,0.5,1.0,106,2,0.24,0.86,72.0,64.0,F
2025-01-16 13:01:11,0.6,1.1,142,2,0.24,0.87,71.8,62.8,F
2025-01-16 13:11:11,0.5,0.9,114,1,0.24,0.87,71.7,62.8,F
2025-01-16 13:21:11,0.8,0.8,195,3,0.25,0.87,71.8,61.7,F
2025-01-16 13:31:11,1.2,2.1,183,4,0.24,0.86,71.7,61.7,F
2025-01-16 13:41:11,1.0,1.7,246,4,0.24,0.86,71.8,61.7,F
2025-01-16 13:51:11,1.0,1.6,247,3,0.24,0.86,71.8,61.7,F
2025-01-16 14:01:11,0.5,0.9,118,1,0.24,0.86,71.7,60.5,F
2025-01-16 14:11:11,1.1,1.6,264,4,0.24,0.85,71.6,60.5,F
2025-01-16 14:21:11,0.5,0.8,115,1,0.24,0.85,71.5,60.5,F
2025-01-16 14:31:11,0.3,0.3,60,1,0.24,0.86,71.4,61.8,F
2025-01-16 14:41:12,0.3,0.5,75,1,0.24,0.85,71.5,60.7,F
2025-01-16 14:51:12,0.2,0.3,57,1,0.24,0.86,71.3,60.5,F
2025-01-16 15:01:12,0.3,0.3,82,1,0.24,0.86,71.2,60.7,F
2025-01-16 15:11:12,0.5,0.3,42,2,0.24,0.86,71.2,60.6,F
2025-01-16 15:21:12,0.5,1.0,134,2,0.22,0.82,70.4,58.4,F
2025-01-16 15:31:12,0.3,0.4,69,1,0.21,0.79,68.5,56.1,F
2025-01-16 15:41:12,0.4,0.7,87,1,0.20,0.76,67.4,55.0,F
2025-01-16 15:51:12,0.3,0.5,48,1,0.20,0.76,67.1,57.4,F
2025-01-16 16:01:12,0.4,0.6,107,1,0.20,0.76,68.5,58.4,F
2025-01-16 16:11:12,0.2,0.3,50,1,0.20,0.77,69.2,56.1,F
2025-01-16 16:21:12,0.4,0.6,92,1,0.21,0.78,69.5,56.0,F
2025-01-16 16:31:12,0.4,0.6,133,1,0.21,0.78,69.8,57.2,F
2025-01-16 16:41:12,0.4,0.7,114,1,0.21,0.79,70.3,58.3,F
2025-01-16 16:51:12,0.4,0.6,114,1,0.21,0.79,70.1,58.3,F
2025-01-16 17:01:12,0.2,0.2,44,1,0.21,0.79,70.1,57.2,F
2025-01-16 17:11:12,0.1,0.1,34,1,0.22,0.80,70.3,58.3,F
2025-01-16 17:21:12,0.3,0.7,83,1,0.22,0.80,70.5,57.1,F
2025-01-16 17:31:13,0.1,0.2,17,2,0.22,0.80,70.3,57.1,F
2025-01-16 17:41:13,0.1,0.2,18,2,0.22,0.80,70.5,58.4,F
2025-01-16 17:51:13,0.2,0.4,53,1,0.22,0.80,70.3,58.3,F
2025-01-16 18:01:13,0.2,0.3,53,1,0.22,0.81,70.4,58.3,F
2025-01-16 18:11:13,0.2,0.3,45,1,0.22,0.80,70.4,58.4,F
2025-01-16 18:21:13,0.3,0.4,92,1,0.21,0.79,70.5,59.4,F
2025-01-16 18:31:13,0.6,0.9,128,2,0.21,0.79,70.6,59.4,F
2025-01-16 18:41:13,0.5,0.9,130,2,0.21,0.79,70.6,59.4,F
2025-01-16 18:51:13,0.4,0.6,62,1,0.22,0.80,70.5,59.4,F
2025-01-16 19:01:13,0.6,1.0,160,2,0.21,0.79,70.4,58.3,F
2025-01-16 19:11:13,0.6,1.0,117,2,0.22,0.80,70.6,59.4,F
2025-01-16 19:21:13,0.2,0.4,74,2,0.21,0.79,70.5,58.3,F
2025-01-16 19:31:13,0.3,0.4,104,1,0.22,0.80,70.7,58.4,F
2025-01-16 19:41:13,0.4,0.6,107,1,0.21,0.79,70.7,58.3,F
2025-01-16 19:51:13,0.4,0.7,104,1,0.21,0.79,70.5,58.3,F
2025-01-16 20:01:13,0.4,0.6,102,1,0.22,0.80,70.5,57.1,F
2025-01-16 20:11:13,0.6,0.6,121,2,0.21,0.78,70.6,58.3,F
2025-01-16 20:21:14,0.4,0.7,121,1,0.21,0.78,70.8,58.3,F
2025-01-16 20:31:14,0.5,1.1,160,2,0.21,0.79,71.0,60.6,F
2025-01-16 20:41:14,0.6,1.2,154,2,0.20,0.75,69.2,54.9,F
2025-01-16 20:51:14,0.5,0.9,121,2,0.20,0.75,68.8,58.3,F
2025-01-16 21:01:14,0.4,0.6,118,1,0.20,0.75,69.5,59.5,F
2025-01-16 21:11:14,0.4,0.7,121,1,0.20,0.76,70.0,58.3,F
2025-01-16 21:21:14,0.3,0.5,53,1,0.21,0.78,70.2,58.3,F
2025-01-16 21:31:14,0.4,0.4,103,1,0.21,0.77,70.5,57.3,F
2025-01-16 21:41:14,0.7,1.2,195,3,0.21,0.78,70.6,57.1,F
2025-01-16 21:51:14,1.4,2.5,233,5,0.20,0.77,70.7,58.3,F
2025-01-16 22:01:14,1.8,2.9,331,7,0.20,0.77,70.5,58.3,F
2025-01-16 22:11:14,1.3,2.2,244,5,0.20,0.77,70.3,58.3,F
2025-01-16 22:21:14,1.2,1.8,171,4,0.21,0.77,70.3,58.4,F
2025-01-16 22:31:14,1.5,2.4,275,6,0.21,0.77,70.5,58.3,F
2025-01-16 22:41:14,0.9,1.6,209,3,0.21,0.78,70.5,58.3,F
2025-01-16 22:51:14,0.9,1.6,185,3,0.21,0.78,70.3,58.3,F
2025-01-16 23:01:15,0.3,0.3,83,1,0.21,0.78,70.3,58.3,F
2025-01-16 23:11:15,0.6,1.0,149,2,0.21,0.78,70.3,58.3,F
2025-01-16 23:21:15,0.3,0.5,49,1,0.21,0.78,70.3,59.5,F
2025-01-16 23:31:15,0.7,1.2,151,2,0.21,0.78,70.5,59.4,F
2025-01-16 23:41:15,0.3,0.4,48,1,0.21,0.78,70.4,58.4,F
2025-01-16 23:51:15,0.1,0.2,51,1,0.21,0.79,70.2,58.3,F
