DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-02 00:07:45,2.2,3.7,422,8,0.27,0.94,70.4,64.0,F
2025-01-02 00:17:45,1.0,3.0,315,4,0.25,0.89,70.4,62.9,F
2025-01-02 00:27:45,1.7,3.2,304,7,0.24,0.87,70.6,62.9,F
2025-01-02 00:37:46,1.5,2.6,283,6,0.24,0.86,70.3,62.9,F
2025-01-02 00:47:46,1.8,3.1,337,7,0.22,0.81,70.3,63.0,F
2025-01-02 00:57:46,1.7,3.1,321,7,0.23,0.83,70.3,63.0,F
2025-01-02 01:07:46,1.5,2.6,264,6,0.22,0.81,70.2,62.9,F
2025-01-02 01:17:46,1.4,2.9,238,5,0.21,0.79,70.2,62.9,F
2025-01-02 01:27:46,2.2,4.0,331,8,0.20,0.75,70.3,61.7,F
2025-01-02 01:37:46,1.2,2.0,197,5,0.20,0.76,70.2,62.9,F
2025-01-02 01:47:46,1.4,2.4,287,5,0.19,0.73,70.2,61.7,F
2025-01-02 01:57:46,1.4,2.3,258,5,0.21,0.77,70.3,63.0,F
2025-01-02 02:07:47,1.3,2.2,211,5,0.19,0.73,70.1,61.7,F
2025-01-02 02:17:46,1.1,1.9,161,4,0.18,0.72,70.1,61.7,F
2025-01-02 02:27:46,1.5,2.6,264,6,0.19,0.73,70.3,61.8,F
2025-01-02 02:37:46,1.1,1.7,186,4,0.17,0.69,70.1,61.7,F
2025-01-02 02:47:46,1.7,3.1,333,6,0.18,0.70,70.1,61.7,F
2025-01-02 02:57:46,1.9,3.0,378,7,0.17,0.69,70.1,61.7,F
2025-01-02 03:07:46,1.8,3.1,328,7,0.17,0.68,70.2,61.7,F
2025-01-02 03:17:46,1.3,2.6,217,5,0.17,0.68,70.3,61.8,F
2025-01-02 03:27:47,1.2,2.2,216,5,0.16,0.67,70.2,61.7,F
2025-01-02 03:37:47,1.9,3.6,339,7,0.16,0.65,70.1,61.7,F
2025-01-02 03:47:47,1.2,2.8,184,4,0.16,0.65,70.1,61.7,F
2025-01-02 03:57:47,1.5,2.6,279,6,0.16,0.66,70.1,61.8,F
2025-01-02 04:07:47,1.7,2.7,307,6,0.15,0.64,70.1,61.7,F
2025-01-02 04:17:47,1.7,3.1,318,7,0.15,0.64,70.3,60.7,F
2025-01-02 04:27:47,1.1,2.1,168,4,0.15,0.63,70.2,60.6,F
2025-01-02 04:37:47,1.7,2.9,308,7,0.15,0.62,70.1,60.7,F
2025-01-02 04:47:47,1.4,2.2,208,5,0.14,0.62,70.1,60.6,F
2025-01-02 04:57:47,1.7,2.6,297,6,0.14,0.62,70.1,60.6,F
2025-01-02 05:07:47,1.2,2.3,215,5,0.14,0.61,70.2,60.6,F
2025-01-02 05:17:47,1.9,3.1,370,7,0.14,0.60,70.3,60.6,F
2025-01-02 05:27:47,1.4,1.6,246,5,0.14,0.60,70.1,60.6,F
2025-01-02 05:37:47,1.7,3.0,276,7,0.13,0.59,70.0,60.7,F
2025-01-02 05:47:47,1.7,3.5,317,7,0.13,0.59,70.0,60.6,F
2025-01-02 05:57:47,1.7,2.9,322,6,0.13,0.58,70.0,60.6,F
2025-01-02 06:07:48,2.0,3.4,398,8,0.13,0.57,70.2,60.6,F
2025-01-02 06:17:48,2.1,3.5,411,8,0.12,0.57,70.3,60.6,F
2025-01-02 06:27:48,1.7,3.3,309,6,0.12,0.57,69.9,60.6,F
