DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-01-31 00:03:14,1.0,1.8,226,4,0.20,0.76,72.4,55.9,F
2025-01-31 00:13:14,1.2,2.1,187,4,0.20,0.76,73.2,55.9,F
2025-01-31 00:23:14,0.7,1.3,183,2,0.21,0.77,73.7,57.0,F
2025-01-31 00:33:14,0.6,1.1,167,2,0.21,0.78,74.1,54.7,F
2025-01-31 00:43:14,0.6,1.2,161,2,0.21,0.79,74.3,55.9,F
2025-01-31 00:53:14,0.6,1.1,152,2,0.21,0.79,74.8,57.0,F
2025-01-31 01:03:15,0.4,0.7,80,1,0.21,0.79,74.6,55.9,F
2025-01-31 01:13:15,0.5,0.7,141,1,0.21,0.79,74.9,55.9,F
2025-01-31 01:23:15,0.5,1.1,112,2,0.22,0.81,74.9,54.7,F
2025-01-31 01:33:15,0.5,0.9,124,2,0.22,0.80,75.1,55.9,F
2025-01-31 01:43:15,0.7,1.2,161,2,0.22,0.82,75.1,52.5,F
2025-01-31 01:53:15,0.9,1.4,200,3,0.22,0.82,75.0,52.4,F
2025-01-31 02:03:15,1.5,2.3,249,6,0.22,0.81,74.7,52.4,F
2025-01-31 02:13:15,1.4,2.4,241,5,0.22,0.81,74.6,52.4,F
2025-01-31 02:23:15,1.8,3.1,350,7,0.22,0.80,74.5,53.6,F
2025-01-31 02:33:15,1.5,2.6,250,6,0.21,0.79,74.3,56.0,F
2025-01-31 02:43:15,1.5,2.4,254,6,0.21,0.79,74.4,55.9,F
2025-01-31 02:53:15,1.4,2.4,266,5,0.21,0.78,74.2,55.9,F
2025-01-31 03:03:15,1.3,2.3,239,5,0.21,0.78,74.0,55.9,F
2025-01-31 03:13:15,0.8,1.5,211,3,0.21,0.78,73.9,57.1,F
2025-01-31 03:23:15,0.9,1.6,235,3,0.21,0.78,73.7,57.1,F
2025-01-31 03:33:15,1.1,2.2,178,4,0.21,0.78,73.9,57.0,F
2025-01-31 03:43:15,0.6,1.1,163,2,0.21,0.78,73.7,57.0,F
2025-01-31 03:53:16,0.4,0.8,103,1,0.21,0.78,73.4,57.0,F
2025-01-31 04:03:16,0.6,0.8,153,2,0.21,0.78,73.4,58.2,F
2025-01-31 04:13:16,0.4,0.6,94,1,0.21,0.78,73.3,57.0,F
2025-01-31 04:23:16,0.4,0.4,93,1,0.21,0.78,73.3,57.2,F
2025-01-31 04:33:16,0.4,0.6,117,1,0.21,0.78,73.4,57.1,F
2025-01-31 04:43:16,0.5,0.8,136,2,0.21,0.78,73.2,57.2,F
2025-01-31 04:53:16,0.4,0.6,85,1,0.21,0.78,73.1,57.2,F
2025-01-31 05:03:16,0.5,1.0,132,2,0.21,0.78,73.0,57.1,F
2025-01-31 05:13:16,0.5,0.7,100,1,0.21,0.78,73.1,57.1,F
2025-01-31 05:23:16,0.6,1.2,154,2,0.21,0.78,73.0,57.1,F
2025-01-31 05:33:16,0.4,0.6,102,1,0.21,0.79,73.2,57.1,F
2025-01-31 05:43:16,0.6,1.0,132,2,0.21,0.78,73.0,57.1,F
2025-01-31 05:53:16,0.4,0.5,110,1,0.21,0.79,73.0,57.1,F
2025-01-31 06:03:16,0.5,0.8,137,2,0.21,0.79,73.0,57.1,F
2025-01-31 06:13:16,0.9,1.6,209,3,0.21,0.78,72.9,57.1,F
2025-01-31 06:23:16,0.7,1.4,185,3,0.21,0.78,73.2,57.1,F
2025-01-31 06:33:16,0.6,0.9,137,2,0.21,0.79,73.2,57.1,F
2025-01-31 06:43:17,0.5,0.8,120,1,0.21,0.79,72.9,57.1,F
2025-01-31 06:53:17,0.5,0.9,150,2,0.21,0.78,73.0,57.2,F
2025-01-31 07:03:17,0.8,1.3,190,3,0.21,0.78,72.9,57.2,F
2025-01-31 07:13:17,0.7,1.2,170,2,0.21,0.79,73.0,55.9,F
2025-01-31 07:23:17,0.7,1.2,174,2,0.21,0.79,73.0,55.9,F
2025-01-31 07:33:17,0.9,1.7,221,3,0.21,0.79,72.9,56.0,F
2025-01-31 07:43:17,0.6,0.9,156,2,0.21,0.78,72.9,56.0,F
2025-01-31 07:53:17,0.6,0.8,148,2,0.21,0.79,72.9,55.9,F
2025-01-31 08:03:17,0.6,1.1,146,2,0.21,0.79,72.9,57.1,F
2025-01-31 08:13:17,0.6,0.6,122,2,0.21,0.79,73.0,55.9,F
2025-01-31 08:23:17,0.7,0.9,172,2,0.21,0.79,73.0,55.9,F
2025-01-31 08:33:17,0.3,0.3,90,1,0.21,0.79,72.9,55.9,F
2025-01-31 08:43:17,0.5,0.9,101,1,0.21,0.78,72.9,55.9,F
2025-01-31 08:53:17,0.4,0.7,104,1,0.21,0.79,72.8,55.9,F
2025-01-31 09:03:17,0.3,0.3,90,1,0.21,0.79,72.9,55.9,F
2025-01-31 09:13:17,0.2,0.3,27,1,0.21,0.79,73.0,56.0,F
2025-01-31 09:23:17,0.4,0.8,107,1,0.21,0.79,72.8,57.1,F
2025-01-31 09:33:18,1.0,1.5,214,4,0.21,0.79,72.9,54.8,F
2025-01-31 09:43:18,0.9,1.6,232,3,0.22,0.80,72.9,54.8,F
2025-01-31 09:53:18,1.1,2.0,167,4,0.22,0.80,72.9,54.8,F
2025-01-31 10:03:18,1.2,1.8,178,5,0.22,0.81,72.8,57.1,F
2025-01-31 10:13:18,18.2,30.6,2788,63,0.26,0.92,73.2,58.2,F
2025-01-31 10:23:18,11.8,19.6,1774,48,0.24,0.85,73.2,57.1,F
2025-01-31 10:33:18,9.4,17.0,1467,38,0.24,0.85,73.0,58.2,F
2025-01-31 10:43:18,5.4,8.7,820,22,0.25,0.89,72.3,59.4,F
2025-01-31 10:53:18,3.8,6.7,586,15,0.24,0.86,72.1,60.5,F
2025-01-31 11:03:18,2.4,4.1,416,9,0.24,0.85,72.2,60.5,F
2025-01-31 11:13:18,2.1,3.3,405,8,0.24,0.85,72.1,60.5,F
2025-01-31 11:23:18,1.7,2.9,329,7,0.24,0.85,72.0,60.5,F
2025-01-31 11:33:18,1.1,2.0,182,4,0.24,0.85,72.1,60.6,F
2025-01-31 11:43:18,1.2,2.1,202,5,0.24,0.85,72.3,60.6,F
2025-01-31 11:53:18,1.1,1.8,257,4,0.24,0.85,72.6,61.6,F
2025-01-31 12:03:18,0.8,1.2,209,3,0.24,0.85,72.5,61.7,F
2025-01-31 12:13:18,0.9,1.6,201,3,0.24,0.85,72.5,61.6,F
2025-01-31 12:23:19,1.1,1.9,168,4,0.24,0.85,72.5,60.5,F
2025-01-31 12:33:19,1.6,2.9,268,6,0.24,0.85,72.6,61.7,F
2025-01-31 12:43:19,1.5,3.5,265,6,0.24,0.85,72.7,60.5,F
2025-01-31 12:53:19,1.5,2.6,283,6,0.23,0.84,72.1,63.9,F
2025-01-31 13:03:19,1.5,2.9,304,6,0.23,0.84,71.7,64.0,F
2025-01-31 13:13:19,1.6,2.9,360,6,0.23,0.84,71.2,66.3,F
2025-01-31 13:23:19,1.8,3.3,335,7,0.23,0.84,71.3,65.1,F
2025-01-31 13:33:19,2.2,3.1,339,9,0.23,0.83,71.3,65.1,F
