DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-13-01 00:07:28,2.4,3.9,354,9,0.12,0.56,69.6,62.9,F
2025-13-01 00:17:28,2.7,4.5,453,10,0.11,0.54,70.2,62.9,F
2025-13-01 00:27:28,3.1,5.3,530,12,0.11,0.54,70.6,65.3,F
2025-13-01 00:37:29,3.5,6.6,540,14,0.11,0.54,70.7,65.1,F
2025-13-01 00:47:29,2.5,4.2,416,10,0.11,0.53,71.1,67.4,F
2025-13-01 00:57:29,2.7,4.5,444,10,0.11,0.53,71.0,64.0,F
2025-13-01 01:07:29,2.6,4.2,458,10,0.11,0.52,71.2,64.0,F
2025-13-01 01:17:29,2.6,4.0,441,10,0.11,0.53,71.2,65.2,F
2025-13-01 01:27:29,2.8,5.2,482,11,0.11,0.53,71.2,65.2,F
2025-13-01 01:37:29,3.1,5.4,554,12,0.11,0.54,71.2,65.1,F
2025-13-01 01:47:29,2.7,4.6,450,11,0.11,0.54,71.5,65.2,F
2025-13-01 01:57:29,2.0,3.3,387,8,0.11,0.54,71.4,65.2,F
2025-13-01 02:07:29,2.7,4.8,456,11,0.11,0.54,71.4,65.2,F
2025-13-01 02:17:29,2.8,4.9,489,11,0.11,0.54,71.4,66.4,F
2025-13-01 02:27:29,2.8,4.8,500,11,0.11,0.54,71.5,66.4,F
2025-13-01 02:37:29,3.0,5.6,532,12,0.11,0.54,71.6,66.3,F
2025-13-01 02:47:29,2.2,4.0,362,9,0.11,0.54,71.7,66.3,F
2025-13-01 02:57:29,2.4,4.2,380,9,0.11,0.54,71.6,66.3,F
2025-13-01 03:07:29,2.5,4.3,410,10,0.11,0.53,71.5,66.3,F
2025-13-01 03:17:29,2.7,4.7,472,11,0.11,0.53,71.6,67.4,F
2025-13-01 03:27:30,2.9,5.4,523,12,0.11,0.53,71.6,67.4,F
2025-13-01 03:37:30,2.1,3.6,424,8,0.11,0.53,71.9,67.4,F
2025-13-01 03:47:30,2.1,3.8,426,8,0.11,0.53,71.9,67.5,F
2025-13-01 03:57:30,2.4,4.1,390,9,0.11,0.53,71.6,67.4,F
2025-13-01 04:07:30,2.1,4.1,417,8,0.11,0.53,71.6,67.4,F
