DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-21 00:06:03,3.2,5.4,582,13,0.03,0.14,70.8,58.3,F
2024-12-21 00:16:03,2.2,4.2,359,9,0.03,0.13,69.1,54.9,F
2024-12-21 00:26:03,2.1,3.9,335,8,0.03,0.14,68.7,58.3,F
2024-12-21 00:36:03,2.1,3.5,419,8,0.03,0.13,69.6,57.2,F
2024-12-21 00:46:03,1.8,3.6,354,7,0.03,0.14,69.9,56.0,F
2024-12-21 00:56:03,2.2,3.4,336,9,0.03,0.14,70.3,56.0,F
2024-12-21 01:06:03,2.1,2.5,416,8,0.03,0.14,70.4,56.0,F
2024-12-21 01:16:04,2.6,4.6,454,10,0.03,0.13,70.4,57.1,F
2024-12-21 01:26:04,2.0,3.4,409,8,0.03,0.13,70.5,57.2,F
2024-12-21 01:36:04,2.0,3.4,396,8,0.03,0.14,70.5,57.1,F
2024-12-21 01:46:04,1.9,3.3,353,7,0.03,0.14,70.5,56.0,F
2024-12-21 01:56:04,2.4,4.1,411,9,0.03,0.14,70.7,57.1,F
2024-12-21 02:06:04,1.3,2.3,241,5,0.03,0.14,70.7,57.1,F
2024-12-21 02:16:04,1.9,2.9,347,7,0.03,0.14,70.4,57.1,F
2024-12-21 02:26:04,2.2,4.0,342,9,0.03,0.14,70.3,58.4,F
2024-12-21 02:36:04,2.0,3.3,387,8,0.03,0.14,70.6,57.1,F
2024-12-21 02:46:04,2.0,3.3,377,8,0.03,0.14,70.4,58.4,F
2024-12-21 02:56:04,1.5,2.8,287,6,0.03,0.14,70.6,58.3,F
2024-12-21 03:06:04,1.7,2.9,287,6,0.03,0.14,70.3,57.3,F
2024-12-21 03:16:04,2.1,2.9,414,8,0.03,0.14,70.3,57.1,F
2024-12-21 03:26:04,2.1,3.8,422,8,0.03,0.14,70.5,57.1,F
2024-12-21 03:36:04,2.0,3.4,419,8,0.03,0.14,70.3,57.1,F
2024-12-21 03:46:04,2.0,3.4,363,8,0.03,0.14,70.4,57.1,F
2024-12-21 03:56:04,1.7,2.8,307,6,0.03,0.14,70.4,57.1,F
2024-12-21 04:06:05,2.1,3.2,419,8,0.03,0.14,70.2,57.2,F
2024-12-21 04:16:05,2.1,3.6,420,8,0.03,0.14,70.1,57.3,F
2024-12-21 04:26:05,1.6,2.6,316,6,0.03,0.14,70.2,57.2,F
2024-12-21 04:36:05,2.4,3.6,381,9,0.03,0.14,70.2,57.2,F
2024-12-21 04:46:05,1.6,2.8,310,6,0.03,0.14,70.3,57.2,F
2024-12-21 04:56:05,2.6,4.2,449,10,0.03,0.14,70.1,57.2,F
2024-12-21 05:06:05,1.8,3.0,361,7,0.03,0.14,70.1,57.2,F
2024-12-21 05:16:05,2.1,3.1,385,8,0.03,0.14,70.1,57.3,F
2024-12-21 05:26:05,1.9,3.0,379,7,0.03,0.14,70.1,57.3,F
2024-12-21 05:36:05,1.6,2.8,325,6,0.03,0.14,70.3,57.3,F
2024-12-21 05:46:05,2.0,3.4,390,8,0.03,0.14,70.3,57.2,F
2024-12-21 05:56:05,2.0,3.2,392,8,0.03,0.14,70.1,57.3,F
2024-12-21 06:06:05,2.0,3.2,388,8,0.03,0.14,70.1,56.1,F
2024-12-21 06:16:05,1.9,3.2,377,7,0.03,0.14,70.1,57.2,F
2024-12-21 06:26:05,2.1,3.5,404,8,0.03,0.14,70.1,57.2,F
2024-12-21 06:36:05,2.2,3.3,422,8,0.03,0.14,70.3,56.0,F
2024-12-21 06:46:05,2.2,3.1,325,8,0.03,0.14,70.0,56.0,F
2024-12-21 06:56:06,1.8,3.1,340,7,0.03,0.14,70.0,56.0,F
2024-12-21 07:06:06,2.4,4.2,403,10,0.03,0.14,70.0,56.0,F
2024-12-21 07:16:06,2.2,3.8,333,9,0.03,0.13,70.0,56.0,F
2024-12-21 07:26:06,2.3,4.1,379,9,0.03,0.13,70.0,56.0,F
2024-12-21 07:36:06,2.7,4.2,494,11,0.03,0.13,70.2,56.1,F
2024-12-21 07:46:06,2.2,3.4,328,8,0.03,0.13,69.9,56.0,F
2024-12-21 07:56:06,1.9,2.9,363,8,0.03,0.13,69.9,56.0,F
2024-12-21 08:06:06,2.7,4.7,441,11,0.03,0.13,69.9,56.0,F
