DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2024-12-24 00:06:29,1.8,3.1,337,7,0.07,0.34,72.8,59.3,F
2024-12-24 00:16:29,1.9,3.0,384,7,0.07,0.34,72.8,59.5,F
2024-12-24 00:26:29,2.1,3.5,402,8,0.07,0.35,72.8,59.5,F
2024-12-24 00:36:29,1.8,2.4,334,7,0.07,0.35,72.8,59.4,F
2024-12-24 00:46:29,2.0,3.0,386,8,0.07,0.34,72.8,58.3,F
2024-12-24 00:56:29,2.2,3.5,325,9,0.07,0.33,73.0,59.3,F
2024-12-24 01:06:29,1.6,2.7,298,6,0.07,0.34,72.7,59.4,F
2024-12-24 01:16:29,1.5,1.8,271,6,0.07,0.35,72.8,58.3,F
2024-12-24 01:26:29,2.0,3.4,383,8,0.07,0.33,72.7,58.2,F
2024-12-24 01:36:29,2.1,3.3,401,8,0.07,0.33,72.5,58.3,F
2024-12-24 01:46:29,1.9,3.3,378,7,0.07,0.33,72.6,59.5,F
2024-12-24 01:56:29,2.4,4.6,386,9,0.07,0.33,72.6,58.2,F
2024-12-24 02:06:29,1.8,2.3,344,7,0.07,0.33,72.5,58.3,F
2024-12-24 02:16:29,2.0,3.2,382,8,0.06,0.30,72.4,58.2,F
2024-12-24 02:26:30,1.8,3.0,343,7,0.06,0.30,72.4,58.2,F
2024-12-24 02:36:30,1.6,2.5,300,6,0.06,0.31,72.5,58.3,F
2024-12-24 02:46:30,1.7,2.2,323,6,0.07,0.32,72.5,59.4,F
2024-12-24 02:56:30,1.7,3.0,352,7,0.06,0.31,72.3,59.4,F
2024-12-24 03:06:30,1.5,2.2,261,5,0.06,0.30,72.3,58.2,F
2024-12-24 03:16:30,1.5,2.2,297,6,0.06,0.30,72.1,58.3,F
2024-12-24 03:26:30,1.9,3.3,359,7,0.06,0.31,72.1,58.2,F
2024-12-24 03:36:30,1.5,2.4,267,6,0.06,0.31,72.4,59.4,F
2024-12-24 03:46:30,1.9,3.6,371,7,0.06,0.31,72.3,59.4,F
2024-12-24 03:56:30,1.5,2.6,265,6,0.06,0.30,72.1,58.2,F
2024-12-24 04:06:30,1.5,2.4,252,6,0.06,0.30,72.1,58.2,F
2024-12-24 04:16:30,1.8,3.1,307,7,0.06,0.30,72.1,58.2,F
2024-12-24 04:26:30,1.2,2.0,214,4,0.06,0.30,72.3,58.2,F
2024-12-24 04:36:30,1.6,2.6,298,6,0.06,0.31,72.3,59.5,F
2024-12-24 04:46:30,1.3,2.3,234,5,0.06,0.29,72.1,58.3,F
2024-12-24 04:56:30,1.8,2.7,312,7,0.06,0.30,72.0,58.2,F
2024-12-24 05:06:30,1.3,2.1,242,5,0.06,0.30,72.0,58.3,F
2024-12-24 05:16:31,1.4,2.1,231,5,0.06,0.30,72.2,58.2,F
2024-12-24 05:26:31,1.6,2.8,299,6,0.06,0.30,72.3,59.4,F
2024-12-24 05:36:31,2.0,3.6,387,8,0.06,0.30,72.1,58.3,F
2024-12-24 05:46:31,1.9,2.9,345,7,0.06,0.30,71.9,58.3,F
2024-12-24 05:56:31,1.4,2.0,248,5,0.06,0.30,72.0,58.2,F
2024-12-24 06:06:31,1.8,2.8,365,7,0.06,0.30,71.9,59.4,F
2024-12-24 06:16:31,1.9,3.0,382,7,0.06,0.29,72.2,58.2,F
2024-12-24 06:26:31,1.5,2.6,253,6,0.06,0.29,72.1,58.2,F
2024-12-24 06:36:31,2.1,3.4,424,8,0.06,0.30,72.0,59.4,F
2024-12-24 06:46:31,1.6,2.5,277,6,0.06,0.28,71.9,58.2,F
2024-12-24 06:56:31,1.4,2.4,256,5,0.06,0.29,71.9,59.4,F
2024-12-24 07:06:31,1.5,2.9,308,6,0.06,0.28,71.9,59.4,F
2024-12-24 07:16:31,2.3,4.0,367,9,0.06,0.28,72.1,58.2,F
2024-12-24 07:26:31,1.8,3.2,349,7,0.06,0.28,71.9,59.4,F
2024-12-24 07:36:31,1.8,3.1,338,7,0.06,0.28,71.9,58.2,F
2024-12-24 07:46:31,1.4,2.1,270,5,0.06,0.28,71.9,59.4,F
2024-12-24 07:56:31,1.7,2.6,287,6,0.06,0.28,71.9,58.2,F
2024-12-24 08:06:32,2.5,4.5,412,10,0.06,0.28,72.0,58.2,F
2024-12-24 08:16:32,2.8,5.0,495,11,0.06,0.28,72.1,59.4,F
2024-12-24 08:26:32,2.0,3.5,420,8,0.06,0.27,71.7,58.2,F
2024-12-24 08:36:32,2.6,4.2,434,10,0.06,0.28,71.8,59.4,F
2024-12-24 08:46:32,2.5,4.4,413,10,0.06,0.27,71.8,59.5,F
2024-12-24 08:56:32,2.3,3.9,408,9,0.05,0.25,71.8,58.2,F
2024-12-24 09:06:32,2.9,5.1,519,11,0.05,0.25,71.9,59.5,F
2024-12-24 09:16:32,2.5,4.2,410,10,0.06,0.26,71.8,58.2,F
2024-12-24 09:26:32,2.8,4.3,487,11,0.05,0.25,71.7,58.4,F
