HCHO,t_C,C6H5OH,HCl,NH3
0.0099,24.2,0.005,0.13,0.01
0.0064,15,0.002,0.04,0.01
0.0092,26.9,0.003,0.15,0.01
0.0065,15.6,0.003,0.05,0.01
0.0102,29.2,0.005,0.17,0.01
0.0049,16.8,0.002,0.04,0.01
0.0115,23.4,0.002,0.13,0.01
0.0032,13.1,0.001,0.04,0.01
0.008,13.9,0.002,0.09,0.01
0.0048,13,0.001,0.03,0.01
0.0084,13.8,0.002,0.11,0.01
0.005,15.4,0.001,0.03,0.01
0.0094,22,0.003,0.1,0.01
0.0054,13.6,0.001,0.04,0.01
0.0102,22.7,0.003,0.1,0.01
0.0046,14.2,0.001,0.04,0.01
0.0112,24.2,0.002,0.06,0.01
0.0027,16.9,0.001,0.03,0.01
0.0094,17.5,0.003,0.08,0.01
0.0034,16.2,0.001,0.04,0.01
0.0081,23.7,0.003,0.1,0.01
0.0048,16.2,0.002,0.05,0.01
0.0109,20.1,0.005,0.11,0.01
0.0056,14.6,0.002,0.03,0.01
0.0101,29.2,0.004,0.08,0.01
0.0066,22.4,0.001,0.04,0.01
0.0144,29.7,0.002,0.1,0.01
0.0072,15.3,0.001,0.03,0.01
0.0106,22.4,0.003,0.11,0.01
0.0064,15.5,0.001,0.04,0.01
0.0097,19.7,0.005,0.1,0.01
0.0056,15.4,0.002,0.04,0.01
0.0116,27.7,0.005,0.11,0.01
0.0048,18.3,0.001,0.04,0.01
0.0127,30.8,0.004,0.09,0.01
0.0033,19.6,0,0.04,0.01
0.0099,23.9,0.004,0.09,0.01
0.0024,13.7,0.002,0.03,0.01
0.0089,20.8,0.004,0.07,0.01
0.0107,20.7,0.002,0.06,0.01
0.0189,20.2,0.004,0.16,0.01
0.0094,20.2,0.001,0.05,0.01
0.0071,19.5,0.002,0.04,0.01
0.0104,23.4,0.002,0.14,0.01
0.0052,13.7,0.001,0.04,0.01
0.0078,22.1,0.003,0.14,0.01
0.0044,14.9,0.003,0.04,0.01
0.006,25.4,0.006,0.14,0.01
0.0039,15,0.005,0.04,0.01
0.0069,18.5,0.008,0.14,0.01
0.0026,12.8,0.003,0.04,0.01
0.0051,22,0.005,0.13,0.01
0.0032,13.6,0.003,0.04,0.01
0.0057,23.4,0.006,0.12,0.01
0.0048,15.7,0.004,0.04,0.01
0.0092,26.5,0.008,0.12,0.01
0.0073,20,0.003,0.04,0.01
0.0106,30.7,0.007,0.15,0.01
0.0057,19.6,0.004,0.04,0.01
0.0153,30,0.008,0.14,0.01
0.0082,19.8,0.004,0.04,0.01
0.0171,31.1,0.007,0.15,0.01
0.011,19.6,0.004,0.05,0.01
0.0184,30.1,0.009,0.17,0.01
0.0081,17.9,0.003,0.05,0.01
0.0168,29.1,0.006,0.18,0.01
0.0063,21.9,0.004,0.05,0.01
0.0095,20.2,0.006,0.16,0.01
0.0058,16.5,0.001,0.05,0.01
0.0071,21.2,0.003,0.14,0.01
0.0044,14.9,0.001,0.04,0.01
0.0068,22,0.002,0.13,0.01
0.0036,14,0.001,0.04,0.01
0.0057,13.6,0.002,0.13,0.01
0.0066,21.1,0.002,0.13,0.01
0.0024,14.6,0.001,0.04,0.01
0.0041,19.4,0.002,0.05,0.01
0.0135,28.3,0.004,0.15,0.01
0.0049,19.4,0.002,0.05,0.01
0.011,29.4,0.005,0.16,0.01
0.0041,20.1,0.002,0.05,0.01
0.0161,30.8,0.006,0.16,0.02
0.0066,21.8,0.002,0.05,0.01
0.0145,31.8,0.006,0.18,0.02
0.0033,20.6,0.002,0.06,0.01
0.0171,31.6,0.006,0.19,0.02
0.0065,21.2,0.003,0.06,0.01
0.0142,28.8,0.007,0.17,0.02
0.0033,17.6,0.001,0.04,0.01
0.0041,21.1,0.003,0.14,0.01
0.0032,11.9,0.001,0.04,0.01
0.0074,20.5,0.002,0.14,0.01
0.0024,13.1,0.001,0.04,0.01
0.0066,20.5,0.002,0.13,0.01
0.003,12.9,0.001,0.04,0.01
0.0079,23.5,0.003,0.11,0.01
0.0016,14,0.001,0.03,0.01
0.0077,16.2,0.002,0.12,0.01
0.0024,8.6,0.001,0.04,0.01
0.0068,15,0.002,0.13,0.01
0.0032,10.7,0.001,0.04,0.01
0.0065,18.8,0.002,0.13,0.01
0.0048,13.8,0.001,0.04,0.01
0.0074,21.3,0.002,0.14,0.01
0.0034,13.4,0.001,0.05,0.01
0.0057,15,0.003,0.12,0.01
0.0032,13.6,0.001,0.04,0.01
0.0062,19.1,0.003,0.15,0.01
0.0038,10.9,0.001,0.04,0.01
0.0058,18.5,0.002,0.14,0.01
0.0024,14.6,0.001,0.04,0.01
0.0074,23.3,0.003,0.14,0.01
0.0033,16.7,0.001,0.04,0.01
